City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Meulaboh,ID,4.1363,96.1285,75.34,86,100,5.79,overcast clouds
1,Hilo,US,19.7297,-155.09,78.12,80,56,5.99,broken clouds
2,Severo-Kurilsk,RU,50.6789,156.125,28.17,86,100,5.91,light snow
3,Longyearbyen,SJ,78.2186,15.6401,8.44,61,20,19.57,few clouds
4,Ushuaia,AR,-54.8,-68.3,56.82,82,75,27.63,light rain
5,Yellowknife,CA,62.456,-114.3525,-9.58,85,75,6.91,light snow
6,Kaitangata,NZ,-46.2817,169.8464,54.93,80,93,5.7,overcast clouds
7,Jamestown,US,42.097,-79.2353,23.29,38,100,3.0,overcast clouds
8,Gimli,CA,50.6336,-96.9907,11.12,66,100,6.91,overcast clouds
9,Mahebourg,MU,-20.4081,57.7,79.25,89,40,11.5,scattered clouds
10,Butaritari,KI,3.0707,172.7902,82.65,73,60,19.48,broken clouds
11,Ekibastuz,KZ,51.6667,75.3667,8.96,73,1,10.87,clear sky
12,Gao,ML,16.6362,1.637,65.71,12,0,11.83,clear sky
13,Isangel,VU,-19.55,169.2667,80.71,94,100,16.11,overcast clouds
14,Busselton,AU,-33.65,115.3333,65.05,89,20,6.62,few clouds
15,Bluff,NZ,-46.6,168.3333,53.8,69,63,13.04,broken clouds
16,Rio Gallegos,AR,-51.6226,-69.2181,77.05,31,75,20.71,broken clouds
17,Mataura,NZ,-46.1927,168.8643,53.47,94,100,0.83,overcast clouds
18,Kununurra,AU,-15.7667,128.7333,76.98,100,47,0.0,scattered clouds
19,Avarua,CK,-21.2078,-159.775,82.45,74,75,14.97,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,79.03,73,97,10.58,overcast clouds
21,Chernyshevskiy,RU,63.0128,112.4714,-4.43,99,100,2.59,overcast clouds
22,Cabo San Lucas,MX,22.8909,-109.9124,75.61,60,24,4.0,few clouds
23,Byron Bay,AU,-28.65,153.6167,69.69,67,93,19.24,overcast clouds
24,Pacific Grove,US,36.6177,-121.9166,67.39,45,100,3.0,overcast clouds
25,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.81,84,48,4.27,scattered clouds
26,Petauke,ZM,-14.2426,31.3253,63.55,97,91,2.44,overcast clouds
27,Hithadhoo,MV,-0.6,73.0833,81.81,75,93,11.72,overcast clouds
28,Lichinga,MZ,-13.3128,35.2406,66.29,94,100,6.91,light intensity drizzle
29,Hamilton,US,39.1834,-84.5333,27.09,72,73,1.01,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,73,5.99,broken clouds
31,Bouar,CF,5.934,15.596,67.59,21,5,5.93,clear sky
32,Labuhan,ID,-6.8844,112.2051,77.54,87,97,10.56,overcast clouds
33,Provideniya,RU,64.3833,-173.3,-5.6,85,2,11.03,clear sky
34,Ucluelet,CA,48.9329,-125.5528,48.09,87,100,1.68,overcast clouds
35,Dingle,PH,10.9995,122.6711,74.46,83,95,11.03,overcast clouds
36,Bilma,NE,18.6853,12.9164,61.32,19,0,5.61,clear sky
37,Hobart,AU,-42.8794,147.3294,59.11,83,75,3.44,broken clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,0,10.36,clear sky
39,Carnarvon,AU,-24.8667,113.6333,77.07,94,75,11.5,broken clouds
40,Sorkjosen,NO,69.8,20.9333,27.3,75,99,18.88,overcast clouds
41,Champerico,GT,14.3,-91.9167,93.74,59,2,13.69,clear sky
42,New Norfolk,AU,-42.7826,147.0587,58.75,69,98,1.9,overcast clouds
43,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,light rain
44,Khatanga,RU,71.9667,102.5,-27.42,98,99,3.33,overcast clouds
45,Cape Town,ZA,-33.9258,18.4232,72.88,62,0,1.99,clear sky
46,Nakusp,CA,50.2499,-117.8023,41.34,81,54,2.3,broken clouds
47,Namatanai,PG,-3.6667,152.4333,81.25,75,64,9.69,broken clouds
48,Two Rivers,US,44.1539,-87.5693,20.32,69,100,3.0,overcast clouds
49,Prince Rupert,CA,54.3161,-130.3201,44.69,70,0,16.11,clear sky
50,Pochutla,MX,15.7432,-96.4661,89.82,35,2,8.34,clear sky
51,Oranjemund,NA,-28.55,16.4333,66.78,79,80,7.74,broken clouds
52,Gusau,NG,12.1628,6.6614,70.14,15,2,13.04,clear sky
